id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
21391428,GRECO,45.50216,9.21103,Private room,26.0,5,25,,0.58,4,232,Milán,0
21392241,BUENOS AIRES - VENEZIA,45.47312,9.21647,Entire home/apt,69.0,1,91,,2.09,1,0,Milán,0
21392765,UMBRIA - MOLISE,45.45026,9.22136,Entire home/apt,63.0,2,2,,0.05,1,88,Milán,0
21395425,TICINESE,45.45688,9.17991,Entire home/apt,36.0,14,12,,0.39,1,340,Milán,0
21396256,CENTRALE,45.47904,9.20209,Entire home/apt,110.0,1,30,,0.67,1,0,Milán,0
21403057,VIGENTINA,45.45235,9.19453,Private room,55.0,2,0,,0.0,1,0,Milán,0
21405746,PORTELLO,45.48657,9.15615,Entire home/apt,54.0,2,124,,2.89,1,302,Milán,0
21410760,GIAMBELLINO,45.45347,9.14929,Entire home/apt,60.0,2,89,,2.0,1,35,Milán,0
21418020,TIBALDI,45.44155,9.18059,Private room,25.0,2,1,,0.02,2,146,Milán,0
21418041,NAVIGLI,45.4459,9.16585,Private room,50.0,3,0,,0.0,2,0,Milán,0
21419043,PAGANO,45.47626,9.1712,Entire home/apt,84.0,1,72,,1.6,81,71,Milán,0
21419314,PORTELLO,45.48553,9.15297,Entire home/apt,231.0,1,0,,0.0,161,0,Milán,0
21433470,PORTA ROMANA,45.44912,9.20847,Private room,45.0,1,0,,0.0,1,0,Milán,0
21437809,ISOLA,45.48655,9.1901,Entire home/apt,83.0,2,13,,0.3,26,259,Milán,0
21442085,SELINUNTE,45.47264,9.14265,Private room,45.0,2,23,,0.59,3,344,Milán,0
21443562,CITTA' STUDI,45.48286,9.22675,Entire home/apt,37.0,2,72,,1.63,1,292,Milán,0
21444479,DUOMO,45.46372,9.19818,Entire home/apt,65.0,2,20,,0.48,1,194,Milán,0
21453142,BUENOS AIRES - VENEZIA,45.47797,9.21373,Entire home/apt,80.0,1,2,,0.12,1,313,Milán,0
21455923,GHISOLFA,45.48922,9.16316,Entire home/apt,38.0,4,50,,1.13,1,0,Milán,0
21459727,MAGENTA - S. VITTORE,45.46946,9.16824,Entire home/apt,100.0,1,24,,0.53,3,365,Milán,0
21463859,ISOLA,45.49334,9.18382,Entire home/apt,60.0,1,16,,0.36,1,0,Milán,0
21465136,MAGENTA - S. VITTORE,45.45762,9.17303,Entire home/apt,69.0,1,5,,0.12,25,341,Milán,0
21470483,SARPI,45.48281,9.17644,Entire home/apt,115.0,3,16,,0.36,1,173,Milán,0
21471241,LODI - CORVETTO,45.44148,9.21345,Entire home/apt,140.0,2,0,,0.0,1,0,Milán,0
21482034,MAGENTA - S. VITTORE,45.46778,9.16752,Entire home/apt,298.0,2,0,,0.0,1,0,Milán,0
21482295,VIGENTINA,45.45118,9.19509,Entire home/apt,179.0,2,2,,0.05,1,0,Milán,0
21483898,ISOLA,45.49118,9.18909,Entire home/apt,93.0,2,5,,0.12,26,40,Milán,0
21485537,SARPI,45.48631,9.16015,Entire home/apt,60.0,1,87,,2.16,1,211,Milán,0
21486133,ISOLA,45.48863,9.18877,Entire home/apt,59.0,1,6,,0.14,43,200,Milán,0
21489337,PORTA ROMANA,45.44957,9.20727,Entire home/apt,68.0,3,85,,1.91,59,215,Milán,0
21493826,DE ANGELI - MONTE ROSA,45.46717,9.15207,Entire home/apt,39.0,1,5,,0.2,1,197,Milán,0
21495474,GRECO,45.49757,9.21288,Private room,45.0,1,100,,2.39,1,180,Milán,0
21496380,BUENOS AIRES - VENEZIA,45.47437,9.21045,Entire home/apt,75.0,14,3,,0.09,1,336,Milán,0
21500642,VIALE MONZA,45.51435,9.22479,Entire home/apt,450.0,4,2,,0.05,1,88,Milán,0
21500817,PARCO FORLANINI - ORTICA,45.47135,9.24693,Entire home/apt,59.0,2,0,,0.0,2,89,Milán,0
21501299,TICINESE,45.44688,9.18046,Entire home/apt,100.0,2,0,,0.0,1,0,Milán,0
21502175,LORETO,45.48887,9.21776,Entire home/apt,52.0,1,132,,2.95,2,67,Milán,0
21503600,PARCO FORLANINI - ORTICA,45.47007,9.2465,Shared room,9.0,1,12,,0.28,1,0,Milán,0
21510850,DUOMO,45.45946,9.18245,Entire home/apt,79.0,7,23,,0.52,12,44,Milán,0
21520693,MACIACHINI - MAGGIOLINA,45.49374,9.1942,Entire home/apt,57.0,2,62,,1.42,1,9,Milán,0
21534532,UMBRIA - MOLISE,45.45642,9.21889,Entire home/apt,60.0,1,3,,0.07,1,0,Milán,0
21534832,PORTA ROMANA,45.4472,9.2097,Private room,60.0,2,2,,0.07,2,364,Milán,0
21538413,TICINESE,45.44833,9.17953,Entire home/apt,90.0,2,46,,1.04,3,150,Milán,0
21545389,PORTA ROMANA,45.4504,9.20669,Entire home/apt,60.0,3,25,,0.57,1,0,Milán,0
21547198,MAGENTA - S. VITTORE,45.45895,9.17028,Entire home/apt,70.0,2,8,,0.36,2,113,Milán,0
21547603,S. SIRO,45.47305,9.13231,Entire home/apt,50.0,6,0,,0.0,1,178,Milán,0
21548750,BRUZZANO,45.5233,9.17589,Shared room,20.0,1,94,,2.14,1,116,Milán,0
21554832,BANDE NERE,45.46619,9.14157,Private room,40.0,1,3,,0.07,1,0,Milán,0
21555606,PORTA ROMANA,45.44957,9.20727,Entire home/apt,68.0,3,102,,2.3,59,191,Milán,0
21556607,PORTA ROMANA,45.44957,9.20727,Entire home/apt,68.0,3,111,,2.47,59,244,Milán,0
21572116,TORTONA,45.45223,9.15958,Entire home/apt,99.0,1,30,,0.69,8,157,Milán,0
21574357,XXII MARZO,45.46606,9.20751,Entire home/apt,80.0,3,11,,0.27,1,87,Milán,0
21587362,QUARTO OGGIARO,45.50967,9.13451,Entire home/apt,24.0,4,0,,0.0,1,0,Milán,0
21588299,GALLARATESE,45.49738,9.11472,Entire home/apt,130.0,2,6,,0.15,1,179,Milán,0
21592177,BUENOS AIRES - VENEZIA,45.47726,9.20706,Entire home/apt,99.0,2,97,,2.19,1,0,Milán,0
21592424,GUASTALLA,45.46693,9.20414,Entire home/apt,100.0,7,0,,0.0,2,98,Milán,0
