id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
11579149,Embajadores,40.40955,-3.69524,Private room,20.0,1,0,,0.0,2,0,Madrid,0
11580388,Palacio,40.40992,-3.71644,Entire home/apt,64.0,2,241,2020-03-12,4.03,1,257,Madrid,1
11587823,Vallehermoso,40.44553,-3.70442,Private room,40.0,1,0,,0.0,1,0,Madrid,0
11597128,Universidad,40.42244,-3.70545,Entire home/apt,86.0,3,134,2020-02-25,2.16,2,200,Madrid,1
11598588,Piovera,40.45624,-3.62638,Entire home/apt,63.0,2,126,2020-02-02,2.05,1,46,Madrid,1
11604023,Embajadores,40.41104,-3.7068,Entire home/apt,95.0,2,74,2020-02-20,1.19,1,0,Madrid,1
11604203,Cortes,40.41288,-3.69848,Entire home/apt,9999.0,1,234,2020-07-28,3.86,3,0,Madrid,1
11605661,Vista Alegre,40.39198,-3.73989,Private room,17.0,2,83,2019-02-24,1.34,1,0,Madrid,1
11615877,Cortes,40.4125,-3.6964,Entire home/apt,80.0,1,58,2021-03-19,0.96,5,331,Madrid,1
11618535,Casa de Campo,40.42064,-3.72039,Entire home/apt,45.0,3,72,2020-07-24,1.26,6,279,Madrid,1
11619015,Media Legua,40.40953,-3.6579,Entire home/apt,50.0,180,28,2020-05-29,0.46,1,181,Madrid,1
11619293,Puerta del Angel,40.41144,-3.72692,Entire home/apt,50.0,2,263,2021-03-10,4.27,1,36,Madrid,1
11620130,Sol,40.41743,-3.70391,Entire home/apt,300.0,1,23,2020-06-29,0.38,25,365,Madrid,1
11621570,El Plantío,40.47316,-3.83625,Entire home/apt,126.0,2,99,2021-02-06,1.61,1,258,Madrid,1
11630593,Palacio,40.41684,-3.71076,Entire home/apt,119.0,3,78,2020-01-26,1.27,1,288,Madrid,1
11634884,Ibiza,40.41746,-3.6754,Private room,40.0,1,0,,0.0,1,0,Madrid,0
11636119,Embajadores,40.41218,-3.7041,Entire home/apt,224.0,3,3,2018-08-04,0.08,5,1,Madrid,1
11638814,Justicia,40.42133,-3.698,Entire home/apt,95.0,20,107,2020-03-07,1.75,2,190,Madrid,1
11645634,Universidad,40.42153,-3.70348,Private room,67.0,3,241,2020-03-12,3.91,2,350,Madrid,1
11645913,Universidad,40.42153,-3.70348,Private room,56.0,1,199,2021-03-11,3.2,2,342,Madrid,1
11647164,Numancia,40.40001,-3.66487,Entire home/apt,89.0,2,202,2020-03-08,3.34,1,0,Madrid,1
11648345,Imperial,40.41055,-3.72098,Entire home/apt,75.0,2,76,2020-03-02,1.23,1,0,Madrid,1
11648578,Pueblo Nuevo,40.43029,-3.64468,Private room,22.0,1,6,2017-12-22,0.1,1,0,Madrid,1
11651607,Argüelles,40.43078,-3.71932,Private room,29.0,1,1,2016-05-22,0.02,14,0,Madrid,1
11652585,Palacio,40.41784,-3.71139,Entire home/apt,120.0,2,11,2018-03-03,0.18,1,0,Madrid,1
11652752,Recoletos,40.42374,-3.6856,Entire home/apt,72.0,5,4,2016-09-26,0.07,1,0,Madrid,1
11653281,Justicia,40.41999,-3.6986,Entire home/apt,42.0,60,161,2020-03-16,2.61,1,180,Madrid,1
11655788,Argüelles,40.43054,-3.71967,Entire home/apt,39.0,1,2,2020-08-07,0.22,14,0,Madrid,1
11657029,Delicias,40.40011,-3.69201,Entire home/apt,50.0,1,285,2020-07-17,4.63,2,104,Madrid,1
11663087,Imperial,40.40711,-3.71586,Private room,30.0,3,105,2020-03-16,1.72,1,365,Madrid,1
11664287,Trafalgar,40.4348,-3.70365,Entire home/apt,73.0,7,72,2021-03-10,1.17,1,97,Madrid,1
11664645,Argüelles,40.43082,-3.71692,Private room,25.0,1,2,2016-03-28,0.03,1,0,Madrid,1
11665672,Justicia,40.42373,-3.69836,Entire home/apt,120.0,2,1,2017-07-03,0.02,1,0,Madrid,1
11666952,Universidad,40.42177,-3.7061,Private room,31.0,2,9,2019-07-27,0.19,1,77,Madrid,1
11667879,Sol,40.41867,-3.70318,Private room,36.0,2,163,2018-12-23,2.66,1,0,Madrid,1
11685529,Rios Rosas,40.43973,-3.70001,Entire home/apt,39.0,3,48,2019-07-20,0.78,1,325,Madrid,1
11686391,Universidad,40.42905,-3.71466,Private room,44.0,2,2,2016-05-19,0.03,3,364,Madrid,1
11687077,Argüelles,40.42721,-3.7147,Private room,33.0,3,3,2020-03-14,0.05,3,1,Madrid,1
11687495,Simancas,40.43765,-3.62672,Entire home/apt,50.0,1,0,,0.0,1,0,Madrid,0
11688088,Universidad,40.42764,-3.71026,Entire home/apt,75.0,3,17,2020-03-18,0.32,1,289,Madrid,1
11688399,Sol,40.41988,-3.70075,Entire home/apt,61.0,1,129,2020-09-27,2.18,6,34,Madrid,1
11691097,Universidad,40.42843,-3.70444,Entire home/apt,57.0,1,352,2021-03-07,5.67,2,229,Madrid,1
11691822,Sol,40.41839,-3.7046,Entire home/apt,66.0,3,128,2021-04-05,2.22,3,224,Madrid,1
11695043,Rios Rosas,40.43823,-3.69169,Entire home/apt,113.0,7,48,2020-02-27,0.79,1,0,Madrid,1
11697470,Palacio,40.41892,-3.70864,Entire home/apt,108.0,3,162,2020-03-02,2.68,1,74,Madrid,1
11699457,Argüelles,40.4258,-3.71602,Entire home/apt,145.0,4,102,2019-12-27,1.82,1,344,Madrid,1
11700283,Universidad,40.42499,-3.70693,Entire home/apt,80.0,5,65,2019-12-13,1.24,1,105,Madrid,1
11703193,Valdeacederas,40.46301,-3.70226,Private room,20.0,2,111,2021-03-31,1.81,11,349,Madrid,1
11703355,Universidad,40.42493,-3.70411,Entire home/apt,118.0,3,130,2020-03-01,2.24,3,365,Madrid,1
11706367,Embajadores,40.41122,-3.69873,Entire home/apt,100.0,1,79,2020-01-30,1.3,5,278,Madrid,1
11708403,Casco Histórico de Vicálvaro,40.40551,-3.6032,Private room,30.0,1,0,,0.0,1,0,Madrid,0
11709497,Universidad,40.42183,-3.70432,Entire home/apt,35.0,1,227,2021-04-14,3.67,53,355,Madrid,1
11713293,Valdefuentes,40.47286,-3.63033,Entire home/apt,90.0,4,76,2020-03-07,1.28,4,0,Madrid,1
11716618,Embajadores,40.40985,-3.70242,Entire home/apt,56.0,2,247,2021-03-21,4.06,20,30,Madrid,1
11726805,Embajadores,40.40914,-3.70811,Entire home/apt,65.0,2,102,2020-03-06,1.66,2,30,Madrid,1
11728046,Castillejos,40.45816,-3.69646,Entire home/apt,95.0,10,225,2021-01-02,3.66,1,117,Madrid,1
11729040,El Viso,40.44307,-3.68342,Entire home/apt,40.0,3,57,2020-10-26,0.95,1,108,Madrid,1
11731488,Embajadores,40.40936,-3.70423,Entire home/apt,50.0,4,123,2020-04-13,2.35,1,25,Madrid,1
11736254,Pacífico,40.40619,-3.67458,Entire home/apt,50.0,1,1,2017-04-23,0.02,2,0,Madrid,1
11748751,Casco Histórico de Vicálvaro,40.40188,-3.61186,Private room,19.0,6,14,2020-02-28,0.23,2,104,Madrid,1
11752611,Prosperidad,40.44196,-3.67543,Entire home/apt,42.0,15,1,2021-03-25,1.0,13,322,Madrid,1
11753309,Universidad,40.42038,-3.70285,Private room,30.0,1,46,2020-03-08,0.82,4,364,Madrid,1
11753638,Puerta del Angel,40.41036,-3.73921,Entire home/apt,40.0,2,283,2021-04-12,4.57,1,310,Madrid,1
11754668,Universidad,40.42258,-3.70352,Private room,30.0,1,47,2020-03-01,0.76,4,364,Madrid,1
11755853,Universidad,40.42052,-3.70487,Private room,30.0,1,52,2020-03-08,0.9,4,364,Madrid,1
11755992,Universidad,40.4206,-3.70466,Private room,30.0,1,144,2020-03-14,2.33,4,360,Madrid,1
11762436,San Isidro,40.39466,-3.72405,Entire home/apt,54.0,10,16,2020-03-21,0.26,1,318,Madrid,1
11767983,Universidad,40.42365,-3.70596,Entire home/apt,55.0,30,140,2020-03-12,2.28,2,324,Madrid,1
11768012,Los Rosales,40.3512,-3.69153,Private room,23.0,2,201,2020-03-09,3.29,3,0,Madrid,1
11771088,Cortes,40.41758,-3.69816,Entire home/apt,50.0,3,251,2020-01-13,4.07,2,1,Madrid,1
11779940,Palacio,40.42062,-3.70808,Entire home/apt,79.0,2,39,2018-06-23,0.64,1,349,Madrid,1
11780499,San Andrés,40.33366,-3.70227,Entire home/apt,5732.0,2,38,2018-11-02,0.62,7,0,Madrid,1
11780712,Embajadores,40.40672,-3.70083,Private room,20.0,2,36,2020-12-12,0.59,1,347,Madrid,1
11782104,Universidad,40.42079,-3.70439,Entire home/apt,95.0,3,7,2018-09-03,0.11,2,350,Madrid,1
11783844,Embajadores,40.41134,-3.7057,Entire home/apt,69.0,2,14,2019-10-02,0.23,1,362,Madrid,1
11788151,Justicia,40.42319,-3.69914,Private room,26.0,1,145,2020-03-13,2.41,1,176,Madrid,1
11790020,Comillas,40.39621,-3.71046,Entire home/apt,58.0,3,71,2020-03-18,1.22,1,0,Madrid,1
11797917,Delicias,40.39763,-3.69309,Entire home/apt,50.0,2,328,2020-03-09,5.32,3,318,Madrid,1
11808208,Justicia,40.42302,-3.69742,Hotel room,109.0,1,39,2021-02-15,0.63,24,148,Madrid,1
11808605,Embajadores,40.40657,-3.70239,Private room,20.0,1,2,2016-04-24,0.03,2,0,Madrid,1
11809379,Aluche,40.39599,-3.76393,Entire home/apt,25.0,1,0,,0.0,1,0,Madrid,0
11815109,Acacias,40.40084,-3.70261,Entire home/apt,109.0,1,0,,0.0,1,0,Madrid,0
11821663,Palacio,40.40896,-3.71036,Private room,29.0,2,73,2020-03-07,1.27,1,168,Madrid,1
11832004,Nueva España,40.46346,-3.68201,Entire home/apt,60.0,2,50,2021-01-03,0.82,6,324,Madrid,1
11832416,Nueva España,40.46342,-3.68196,Entire home/apt,62.0,2,39,2021-04-01,0.63,6,347,Madrid,1
11832604,Simancas,40.43112,-3.62941,Private room,23.0,4,17,2020-03-15,0.28,1,365,Madrid,1
11833441,Cortes,40.41282,-3.69973,Entire home/apt,110.0,30,98,2020-03-01,1.59,4,289,Madrid,1
11841085,Palos de Moguer,40.40593,-3.69452,Entire home/apt,48.0,1,9,2016-04-23,0.15,1,0,Madrid,1
11844156,Aluche,40.38712,-3.75781,Private room,20.0,2,11,2018-11-19,0.18,1,362,Madrid,1
11848646,Almagro,40.42853,-3.69497,Entire home/apt,78.0,3,15,2020-09-30,0.28,1,304,Madrid,1
11861328,Argüelles,40.42474,-3.7132,Entire home/apt,200.0,1,0,,0.0,1,0,Madrid,0
11864422,Embajadores,40.40823,-3.70207,Entire home/apt,88.0,3,29,2020-03-04,0.48,1,10,Madrid,1
11878685,Embajadores,40.40863,-3.70262,Entire home/apt,38.0,2,288,2021-03-23,4.7,38,350,Madrid,1
11883513,Castellana,40.43343,-3.67959,Hotel room,87.0,1,57,2021-03-10,0.99,24,234,Madrid,1
11883556,Almendrales,40.38554,-3.70331,Entire home/apt,42.0,5,37,2020-12-27,0.73,21,110,Madrid,1
11883563,Sol,40.41725,-3.7052,Entire home/apt,93.0,1,5,2018-04-18,0.08,25,101,Madrid,1
11883878,Embajadores,40.41068,-3.70868,Entire home/apt,45.0,1,18,2016-09-18,0.29,2,0,Madrid,1
11884950,Argüelles,40.43055,-3.72176,Private room,20.0,2,1,2016-06-09,0.02,1,0,Madrid,1
11886565,Sol,40.41567,-3.70517,Entire home/apt,89.0,1,16,2019-07-09,0.26,25,365,Madrid,1
11890062,Argüelles,40.42529,-3.71272,Entire home/apt,105.0,2,88,2019-01-10,1.43,1,164,Madrid,1
11897825,Sol,40.4168,-3.70282,Entire home/apt,102.0,4,58,2019-07-25,0.95,1,73,Madrid,1
11905261,Casco Histórico de Vicálvaro,40.40198,-3.61197,Private room,19.0,6,13,2020-03-01,0.22,2,288,Madrid,1
11933593,Universidad,40.42514,-3.70406,Private room,38.0,2,124,2020-03-12,2.04,1,87,Madrid,1
11938020,Pueblo Nuevo,40.42904,-3.63591,Entire home/apt,73.0,2,21,2019-10-27,0.35,2,0,Madrid,1
11938763,Embajadores,40.41038,-3.70475,Private room,24.0,1,0,,0.0,1,0,Madrid,0
11939172,Justicia,40.42657,-3.70018,Entire home/apt,100.0,2,5,2018-05-27,0.12,1,0,Madrid,1
11940718,Almendrales,40.38554,-3.70331,Entire home/apt,37.0,5,26,2020-07-30,0.45,21,0,Madrid,1
11946639,San Isidro,40.39853,-3.71787,Private room,40.0,2,20,2020-02-03,0.34,1,363,Madrid,1
11956508,La Paz,40.48466,-3.70603,Private room,100.0,1,0,,0.0,1,365,Madrid,0
11960516,Moscardó,40.38665,-3.70248,Entire home/apt,40.0,5,30,2020-09-25,0.49,21,251,Madrid,1
11960656,Universidad,40.42845,-3.70355,Private room,37.0,1,0,,0.0,1,0,Madrid,0
11964300,Embajadores,40.41097,-3.70592,Entire home/apt,106.0,2,36,2019-11-22,0.62,1,1,Madrid,1
11966069,Imperial,40.40748,-3.71715,Entire home/apt,70.0,3,25,2020-01-03,0.41,1,347,Madrid,1
11967357,Justicia,40.42485,-3.69708,Entire home/apt,65.0,1,0,,0.0,1,0,Madrid,0
11975069,Adelfas,40.40036,-3.67038,Entire home/apt,35.0,2,11,2016-05-23,0.18,1,0,Madrid,1
11981223,Cortes,40.41489,-3.69572,Private room,68.0,1,147,2020-03-06,2.44,1,365,Madrid,1
11990713,Cortes,40.41593,-3.69772,Entire home/apt,176.0,2,273,2021-01-05,4.47,6,219,Madrid,1
11992570,Almenara,40.47082,-3.69137,Private room,19.0,1,32,2021-03-08,0.52,3,255,Madrid,1
11993002,Almenara,40.47234,-3.69143,Private room,55.0,3,33,2021-03-31,0.54,3,255,Madrid,1
11995217,Sol,40.41943,-3.7071,Entire home/apt,141.0,3,93,2019-12-30,1.6,4,315,Madrid,1
12004814,San Isidro,40.40131,-3.72289,Entire home/apt,48.0,2,33,2017-07-02,0.56,1,0,Madrid,1
12007794,Almendrales,40.38558,-3.70331,Entire home/apt,50.0,5,33,2020-09-03,0.54,21,171,Madrid,1
12008311,Almendrales,40.38556,-3.7033,Entire home/apt,37.0,5,33,2020-07-15,0.55,21,230,Madrid,1
12016892,Palos de Moguer,40.40266,-3.68979,Entire home/apt,39.0,2,213,2021-04-14,4.23,1,25,Madrid,1
12030020,Puerta del Angel,40.41084,-3.73488,Private room,25.0,2,64,2020-03-13,1.06,3,365,Madrid,1
12032976,Universidad,40.4284,-3.70351,Entire home/apt,67.0,3,7,2019-05-06,0.12,3,365,Madrid,1
